COUNTY,LAT,LON,MALES,FEMALES,B1,B2,B3,B4,B5,B6,B7,B8,G1,G2,G3,G4,G5,G6,G7,G8,B9,B10,B11,B12,G9,G10,G11,G12
Nyandarua,-0.3220778225,36.482869161,292155,304113,9257,9344,9716,10241,10469,10216,10370,9348,8403,8768,9258,9615,9947,10251,10738,9486,6660,6612,6613,5069,6668,6621,6104,4264
Nyeri,-0.3429235894,36.9564781346,339725,353833,8631,8297,8960,9225,9915,10306,10065,9804,7746,8110,8187,8727,9139,9658,10518,9550,6813,6397,5683,5040,7448,6830,6109,5127
Samburu,1.3168546261,37.118394067,112007,111940,4524,3882,3943,3572,3119,2725,2594,1917,3871,3436,3486,3000,2479,2189,1888,1385,8928,8635,8118,7294,9385,9179,8332,7600
Siaya,-0.0621298886,34.2476417045,398652,443652,18293,17424,17231,17309,16613,15981,14964,10778,17788,17157,16705,17286,16742,16406,15636,10828,1094,968,867,684,674,566,474,376
Taita Taveta,-3.4347339937,38.4186020033,145334,139323,4492,4415,4414,4443,4508,4335,4629,4103,4193,4067,4223,4291,4288,4314,4520,4205,10015,9355,8331,7106,8813,8372,6712,5552
Tana River,-1.5263666043,39.4178692029,119853,120222,4347,3612,3721,3507,3092,2761,2881,2014,3924,3480,3192,3218,2944,2672,2465,1838,2773,2864,2463,2105,2893,3019,2443,2216
Tharaka-Nithi,-0.2070612179,37.8702972709,178451,186879,7073,6341,6464,6758,6633,6309,5847,4409,6704,6073,6264,6846,6854,6594,6203,4681,1032,1059,914,739,674,554,491,319
Trans Nzoia,1.0509548086,34.9574199775,407172,411585,16326,16307,16223,16669,15316,15040,14664,9332,16225,16108,16038,16343,15691,15617,15717,9909,5657,5204,4611,3887,6061,5397,4884,3915
Turkana,3.4248491959,35.4357584553,445069,410330,26444,19951,17556,14431,11975,11169,9652,5031,22406,16667,14144,11337,8502,7155,5987,3175,8082,7194,6357,4915,7667,6579,5252,3832
Uasin Gishu,0.5260858915,35.3220116672,448994,445185,12407,12558,12506,13133,12769,12824,12793,9584,12087,12171,12148,12801,12917,13211,13452,9968,3224,2762,2010,1414,1673,1323,968,723
Vihiga,0.0762657959,34.7223230361,262716,291906,12679,12286,11761,11811,11016,10528,9090,6646,12358,11816,11657,11980,11588,11368,10342,8032,5748,5557,4948,4541,6328,6184,5036,4619
Wajir,1.8081376238,40.0349856396,363766,298175,7648,6776,6034,5087,4337,3719,3240,2916,5475,4744,4283,3365,2811,2356,1936,1505,7306,6755,6245,5450,7751,7123,6058,5141
West Pokot,1.7401061713,35.2438468092,254827,257863,14725,13015,11785,11201,9549,8768,8672,5081,13864,12467,11435,10474,9226,8308,7887,4503,2243,2018,1698,1299,1129,911,655,561
